in s,C1 in V
1.74438400E-03,-2.14355E+00
1.74439280E-03,-2.10449E+00
1.74440160E-03,-2.09473E+00
1.74441040E-03,-2.11426E+00
1.74441920E-03,-2.10449E+00
1.74442800E-03,-2.09473E+00
1.74443680E-03,-2.08496E+00
1.74444560E-03,-2.14355E+00
1.74445440E-03,-2.12402E+00
1.74446320E-03,-2.14355E+00
1.74447200E-03,-2.10449E+00
1.74448080E-03,-2.09473E+00
1.74448960E-03,-2.11426E+00
1.74449840E-03,-2.11426E+00
1.74450720E-03,-2.13379E+00
1.74451600E-03,-2.10449E+00
1.74452480E-03,-2.11426E+00
1.74453360E-03,-2.11426E+00
1.74454240E-03,-2.14355E+00
1.74455120E-03,-2.10449E+00
1.74456000E-03,-2.10449E+00
1.74456880E-03,-2.15332E+00
1.74457760E-03,-2.15332E+00
1.74458640E-03,-2.11426E+00
1.74459520E-03,-2.11426E+00
1.74460400E-03,-2.09473E+00
1.74461280E-03,-2.13379E+00
1.74462160E-03,-2.08496E+00
1.74463040E-03,-2.11426E+00
1.74463920E-03,-2.12402E+00
1.74464800E-03,-2.13379E+00
1.74465680E-03,-2.11426E+00
1.74466560E-03,-2.12402E+00
1.74467440E-03,-2.11426E+00
1.74468320E-03,-2.11426E+00
1.74469200E-03,-2.12402E+00
1.74470080E-03,-2.11426E+00
1.74470960E-03,-2.12402E+00
1.74471840E-03,-2.11426E+00
1.74472720E-03,-2.12402E+00
1.74473600E-03,-2.14355E+00
1.74474480E-03,-2.11426E+00
1.74475360E-03,-2.12402E+00
1.74476240E-03,-2.12402E+00
1.74477120E-03,-2.11426E+00
1.74478000E-03,-2.14355E+00
1.74478880E-03,-2.10449E+00
1.74479760E-03,-2.14355E+00
1.74480640E-03,-2.13379E+00
1.74481520E-03,-2.11426E+00
1.74482400E-03,-2.11426E+00
1.74483280E-03,-2.10449E+00
1.74484160E-03,-2.11426E+00
1.74485040E-03,-2.13379E+00
1.74485920E-03,-2.09473E+00
1.74486800E-03,-2.09473E+00
1.74487680E-03,-2.12402E+00
1.74488560E-03,-2.11426E+00
1.74489440E-03,-2.12402E+00
1.74490320E-03,-2.12402E+00
1.74491200E-03,-2.14355E+00
1.74492080E-03,-2.08496E+00
1.74492960E-03,-2.12402E+00
1.74493840E-03,-2.11426E+00
1.74494720E-03,-2.19238E+00
1.74495600E-03,-2.10449E+00
1.74496480E-03,-2.14355E+00
1.74497360E-03,-2.10449E+00
1.74498240E-03,-2.12402E+00
1.74499120E-03,-2.15332E+00
1.74500000E-03,-2.12402E+00
1.74500880E-03,-2.14355E+00
1.74501760E-03,-2.19238E+00
1.74502640E-03,-2.10449E+00
1.74503520E-03,-2.11426E+00
1.74504400E-03,-2.12402E+00
1.74505280E-03,-2.11426E+00
1.74506160E-03,-2.16309E+00
1.74507040E-03,-2.14355E+00
1.74507920E-03,-2.09473E+00
1.74508800E-03,-2.16309E+00
1.74509680E-03,-2.14355E+00
1.74510560E-03,-2.12402E+00
1.74511440E-03,-2.13379E+00
1.74512320E-03,-2.09473E+00
1.74513200E-03,-2.11426E+00
1.74514080E-03,-2.14355E+00
1.74514960E-03,-2.11426E+00
1.74515840E-03,-2.10449E+00
1.74516720E-03,-2.11426E+00
1.74517600E-03,-2.13379E+00
1.74518480E-03,-2.12402E+00
1.74519360E-03,-2.08496E+00
1.74520240E-03,-2.11426E+00
1.74521120E-03,-2.14355E+00
1.74522000E-03,-2.11426E+00
1.74522880E-03,-2.17285E+00
1.74523760E-03,-2.12402E+00
1.74524640E-03,-2.14355E+00
1.74525520E-03,-2.13379E+00
1.74526400E-03,-2.14355E+00
1.74527280E-03,-2.13379E+00
1.74528160E-03,-2.13379E+00
1.74529040E-03,-2.14355E+00
1.74529920E-03,-2.15332E+00
1.74530800E-03,-2.11426E+00
1.74531680E-03,-2.12402E+00
1.74532560E-03,-2.11426E+00
1.74533440E-03,-2.14355E+00
1.74534320E-03,-2.13379E+00
1.74535200E-03,-2.13379E+00
1.74536080E-03,-2.10449E+00
1.74536960E-03,-2.11426E+00
1.74537840E-03,-2.15332E+00
1.74538720E-03,-2.15332E+00
1.74539600E-03,-2.12402E+00
1.74540480E-03,-2.13379E+00
1.74541360E-03,-2.17285E+00
1.74542240E-03,-2.12402E+00
1.74543120E-03,-2.15332E+00
1.74544000E-03,-2.12402E+00
1.74544880E-03,-2.15332E+00
1.74545760E-03,-2.12402E+00
1.74546640E-03,-2.12402E+00
1.74547520E-03,-2.14355E+00
1.74548400E-03,-2.14355E+00
1.74549280E-03,-2.17285E+00
1.74550160E-03,-2.11426E+00
1.74551040E-03,-2.12402E+00
1.74551920E-03,-2.14355E+00
1.74552800E-03,-2.11426E+00
1.74553680E-03,-2.13379E+00
1.74554560E-03,-2.16309E+00
1.74555440E-03,-2.14355E+00
1.74556320E-03,-2.14355E+00
1.74557200E-03,-2.11426E+00
1.74558080E-03,-2.17285E+00
1.74558960E-03,-2.12402E+00
1.74559840E-03,-2.14355E+00
1.74560720E-03,-2.15332E+00
1.74561600E-03,-2.16309E+00
1.74562480E-03,-2.11426E+00
1.74563360E-03,-2.13379E+00
1.74564240E-03,-2.11426E+00
1.74565120E-03,-2.16309E+00
1.74566000E-03,-2.11426E+00
1.74566880E-03,-2.11426E+00
1.74567760E-03,-2.13379E+00
1.74568640E-03,-2.16309E+00
1.74569520E-03,-2.14355E+00
1.74570400E-03,-2.12402E+00
1.74571280E-03,-2.14355E+00
1.74572160E-03,-2.12402E+00
1.74573040E-03,-2.10449E+00
1.74573920E-03,-2.11426E+00
1.74574800E-03,-2.13379E+00
1.74575680E-03,-2.14355E+00
1.74576560E-03,-2.14355E+00
1.74577440E-03,-2.14355E+00
1.74578320E-03,-2.11426E+00
1.74579200E-03,-2.13379E+00
1.74580080E-03,-2.12402E+00
1.74580960E-03,-2.13379E+00
1.74581840E-03,-2.14355E+00
1.74582720E-03,-2.11426E+00
1.74583600E-03,-2.11426E+00
1.74584480E-03,-2.11426E+00
1.74585360E-03,-2.12402E+00
1.74586240E-03,-2.14355E+00
1.74587120E-03,-2.15332E+00
1.74588000E-03,-2.13379E+00
1.74588880E-03,-2.14355E+00
1.74589760E-03,-2.13379E+00
1.74590640E-03,-2.10449E+00
1.74591520E-03,-2.13379E+00
1.74592400E-03,-2.12402E+00
1.74593280E-03,-2.14355E+00
1.74594160E-03,-2.13379E+00
1.74595040E-03,-2.12402E+00
1.74595920E-03,-2.11426E+00
1.74596800E-03,-2.11426E+00
1.74597680E-03,-2.14355E+00
1.74598560E-03,-2.14355E+00
1.74599440E-03,-2.17285E+00
1.74600320E-03,-2.16309E+00
1.74601200E-03,-2.15332E+00
1.74602080E-03,-2.12402E+00
1.74602960E-03,-2.16309E+00
1.74603840E-03,-2.11426E+00
1.74604720E-03,-2.14355E+00
1.74605600E-03,-2.13379E+00
1.74606480E-03,-2.14355E+00
1.74607360E-03,-2.11426E+00
1.74608240E-03,-2.16309E+00
1.74609120E-03,-2.14355E+00
1.74610000E-03,-2.11426E+00
1.74610880E-03,-2.12402E+00
1.74611760E-03,-2.15332E+00
1.74612640E-03,-2.14355E+00
1.74613520E-03,-2.16309E+00
1.74614400E-03,-2.17285E+00
1.74615280E-03,-2.12402E+00
1.74616160E-03,-2.11426E+00
1.74617040E-03,-2.15332E+00
1.74617920E-03,-2.14355E+00
1.74618800E-03,-2.14355E+00
1.74619680E-03,-2.14355E+00
1.74620560E-03,-2.10449E+00
1.74621440E-03,-2.14355E+00
1.74622320E-03,-2.11426E+00
1.74623200E-03,-2.16309E+00
1.74624080E-03,-2.09473E+00
1.74624960E-03,-2.12402E+00
1.74625840E-03,-2.12402E+00
1.74626720E-03,-2.14355E+00
1.74627600E-03,-2.11426E+00
1.74628480E-03,-2.16309E+00
1.74629360E-03,-2.14355E+00
